ID	LON	LAT
88	0.683333	47.4
108	-4.06667	48.5167
139	-4.06667	48.5167
159	3.93333	47.35
265	-1.16667	44.65
350	4.11667	46.6667
351	4.11667	46.6667
403	16.2667	49.3667
410	16.3497	49.4211
424	16.2815	49.4112
428	16.232	49.403
430	15.5	47.0
763	74.3667	42.3
765	73.4	42.1833
766	73.6333	42.5833
768	76.35	42.8
772	72.4667	37.35
991	14.0526813	55.3822641
992	14.0526813	55.3822641
997	14.0526813	55.3822641
1002	14.05	55.3833
1006	14.05	55.3833
1061	14.1333	55.7167
1062	14.1333	55.7167
1063	14.1333	55.7167
1066	14.1333	55.7167
1070	14.1333	55.7167
1158	16.5167	56.7
1166	16.5167	56.7
1254	17.0167	59.4333
1257	17.0167	59.4333
1313	16.8667	59.5667
1317	16.8667	59.5667
1552	18.3667	63.0833
4779	-4.9	50.4
4807	-4.9	50.4
4826	-4.9	50.4
4840	-4.9	50.4
4857	-4.9	50.3
4884	-4.9	50.3
4900	-4.8	50.3
4939	-4.7	50.4
4958	-4.5	50.5
5023	0.5	51.3
5104	0.5	51.3
5151	-1.7	52.2
5165	0.4	51.3
5210	0.3	51.2
5236	0.4	51.2
5249	0.3	51.2
5253	0.6	51.1
5276	1.1	51.3
5279	1.1	51.3
5349	0.4	51.1
5353	-3.0	54.5
5395	-3.0	54.4
5486	-3.3	54.6
5577	-3.4	54.7
5644	-2.9	54.4
5651	-2.9	54.4
5717	-3.2	54.6
5718	-3.4	57.0
5720	-1.6	53.3
5726	1.1	51.3
5741	-4.1	56.6
5748	-4.4	56.0
5757	-2.3	54.6
5768	-1.5	54.1
5772	-2.3	54.1
5776	-1.3	52.9
5779	-3.1	51.0
5784	-5.2	56.4
5798	-3.3	53.1
5800	-5.5	57.4
5811	-3.1	52.9
5822	-5.98333	56.7333
5830	15.9807762	56.3130014
5831	15.9807762	56.3130014
5832	15.9807762	56.3130014
5836	13.51	55.86
5837	16.2326	49.4013
5856	17.4849587	63.0091989
5860	18.0165	62.6814
5865	14.1231006	55.7565106
5867	14.1220385	55.7570661
5874	16.2815	49.4112
5890	16.2815	49.4112
5893	16.2815	49.4112
5907	16.2815	49.4112
5921	16.2815	49.4112
5950	16.2815	49.4112
5984	16.2815	49.4112
5993	16.2815	49.4112
6008	16.2	49.1
6009	18.1749827	62.8759855
6010	18.177	62.877
6011	18.1749827	62.8759855
6012	18.1749827	62.8759855
6013	18.1749827	62.8759855
6016	18.4045	62.9147
6017	18.4045	62.9147
6019	14.2786489	56.0617671
6020	14.2786489	56.0617671
6021	14.281492	56.068008
6022	14.29	56.06
6023	13.3720798	55.7501271
6024	13.3712	55.7509
6025	17.7311	62.6381
6030	18.1896	62.806
6034	13.7453108	56.0755241
6035	13.7453108	56.0755241
6036	13.7249024	56.1045244
6038	13.7249024	56.1045244
6039	13.7296953	56.1132251
6040	13.4	55.66
6041	14.7427433	56.0089259
6042	13.8561835	56.0964877
6043	18.075722	62.8003225
6046	18.2763	62.9513
6064	18.2763	62.9513
6069	18.339997	62.956806
6070	18.3448	62.9308
6071	15.7779722	56.1460908
6073	13.2155403	55.709434
6074	16.1308	56.4573
6076	13.4504	55.6942
6077	13.4504	55.6942
6085	11.2	58.9
6086	13.2197	55.6525
6087	16.1284	56.4666
6088	16.1284	56.4666
6090	13.2233	55.6514
6091	13.215	55.6525
6092	13.2147	55.6494
6094	13.2264	55.6481
6095	13.2161	55.6486
6096	13.2225	55.6472
6097	13.2178	55.6561
6098	13.2240307	55.6484554
6099	13.2386	55.6575
6100	13.2	55.6
6101	13.2	55.6
6102	13.2078964	55.6995163
6104	13.1151131	55.7892517
6105	13.1211	55.7967
6106	13.1162548	55.7925311
